ID,ID_String,Twitter_Name,Twitter_Username,Location,followers_count,friends_count,listed_count,created_at,favourites_count,favourites_count,verified,statuses_count
568193364,568193364,AR,Rasta182,Indonesia,34,904,6,Tue May 01 11:18:40 +0000 2012,936,936,false,1162
1465566878148231200,1465566878148231168,bobo,zhoubo474762,广州，白云区,150,2000,8,Tue Nov 30 06:22:38 +0000 2021,5972,5972,false,2669
1438991065470562300,1438991065470562305,moses akpah,mosesakpah1,,27,233,1,Fri Sep 17 22:20:17 +0000 2021,266,266,false,509
1526886632141770800,1526886632141770752,BrainBox,BrainBox404,,49,215,0,Wed May 18 11:25:34 +0000 2022,34,34,false,180
1195379816742056000,1195379816742055936,alirezamn.wallet,alirezamoosavin,,282,1144,10,Fri Nov 15 16:35:42 +0000 2019,165,165,false,353
1480388536180220000,1480388536180219904,Sajarul Sekh,sekhsajarul001,"Murshidabad, India",10,88,0,Mon Jan 10 03:58:36 +0000 2022,130,130,false,150
145904977,145904977,Jeff L,Axpoker,Metaverse,162,1286,2,Thu May 20 04:34:38 +0000 2010,8628,8628,false,1271
1365724075738288000,1365724075738288129,Akhil Jose,AkhilJo72010113,"इडुक्की टाउनशिप, भारत",36,518,3,Sat Feb 27 18:03:17 +0000 2021,1089,1089,false,1343
1189110248558039000,1189110248558039041,Anuj Yadav,anuj_207,,6,89,0,Tue Oct 29 09:22:47 +0000 2019,53,53,false,1276
1376000550940995600,1376000550940995590,Famz Munaza,FamzMunaza1,,24,518,3,Sun Mar 28 02:38:00 +0000 2021,485,485,false,524
965944945961001000,965944945961000960,Ardumaynesh,ardumaynesh,,121,175,0,Tue Feb 20 13:43:16 +0000 2018,74935,74935,false,18601
1347729985470165000,1347729985470164993,2022511.eth,maeklee1,"San Jose, Costa Rica",38,1345,4,Sat Jan 09 02:20:53 +0000 2021,1154,1154,false,2677
1525010548986769400,1525010548986769409,Rustomali,Rostomali01,,18,791,0,Fri May 13 07:11:20 +0000 2022,108,108,false,147
1452176367282393000,1452176367282393094,SATYAJITDAS,SATYAJITDAS7377,,10,832,1,Sun Oct 24 07:33:34 +0000 2021,777,777,false,1152
1520113932517757000,1520113932517756928,Ibn_mas'ud,Ibnmasud17,,11,180,0,Fri Apr 29 18:53:18 +0000 2022,530,530,false,71
1375878764656087000,1375878764656087044,khan.sol,Ama89136012,,38,619,1,Sat Mar 27 18:34:00 +0000 2021,218,218,false,614
1506242262845558800,1506242262845558785,Patrick Okehi,PatrickOkehi,,289,2959,1,Tue Mar 22 12:12:28 +0000 2022,108,108,false,192
1465158556823470000,1465158556823470087,js,Jigsaw8890,,7,87,1,Mon Nov 29 03:20:26 +0000 2021,3,3,false,8
1510219793844285400,1510219793844285444,CHASE_YOUNG,CHASEYOUG777,,1,128,0,Sat Apr 02 11:37:34 +0000 2022,0,0,false,3
1361041552714461200,1361041552714461184,tolga,TolgaTmertyuce,,22,485,2,Sun Feb 14 19:56:18 +0000 2021,1162,1162,false,813
735555727,735555727,Faruk memiş,diago3210,İzmir Turkey,94,553,9,Fri Aug 03 21:16:20 +0000 2012,2060,2060,false,2004
749597916122218500,749597916122218497,Onah innocent - Pega🦄,OnahInno,,78,82,0,Sun Jul 03 13:37:24 +0000 2016,1813,1813,false,2776
1276472795866624000,1276472795866624001,Anuj.bit,Anuj86256143,,100,893,0,Fri Jun 26 11:10:12 +0000 2020,633,633,false,1299
1271722788554825700,1271722788554825729,Magic Pilgrim manmage,VishalO42261463,,89,1926,2,Sat Jun 13 08:35:24 +0000 2020,2416,2416,false,4854
1403333884842954800,1403333884842954758,Rony,Rony75872818,"Bogra, Bangladesh",18,580,2,Fri Jun 11 12:53:05 +0000 2021,434,434,false,750
1527547051885891600,1527547051885891584,mr noob,mrnooburdad,,1,23,0,Fri May 20 07:09:57 +0000 2022,0,0,false,15
1469177244727668700,1469177244727668737,Ragib Akhoon,ragib_akhoon,,22,252,2,Fri Dec 10 05:29:05 +0000 2021,207,207,false,354
1518943174185701400,1518943174185701378,Adegboye,MrBiggie100,,35,199,0,Tue Apr 26 13:21:01 +0000 2022,357,357,false,169
2257232905,2257232905,Chawbella,ChawbeIIa,,99,666,5,Sun Dec 22 03:41:17 +0000 2013,5668,5668,false,939
1379098202847252500,1379098202847252483,Algorand Latam,AlgorandLatam,LATAM,1151,128,12,Mon Apr 05 15:48:36 +0000 2021,4189,4189,false,699
962247892311343100,962247892311343105,Funius Sas,funius_sas,"Gothenburg, Sweden",6,135,1,Sat Feb 10 08:52:30 +0000 2018,70,70,false,136
1482004251748573200,1482004251748573193,Asalytic,asalytic,Algorand,1460,324,19,Fri Jan 14 14:58:49 +0000 2022,868,868,false,262
1297285076837896200,1297285076837896192,Mr dee,Mrdee46093738,,73,1132,2,Sat Aug 22 21:31:00 +0000 2020,3026,3026,false,2320
1427358248676565000,1427358248676564996,Maximus,MaximusALGO,,713,216,1,Mon Aug 16 19:56:34 +0000 2021,1705,1705,false,615
1431298080461267000,1431298080461266944,AlgonautShaman,AlgonautShaman,,143,80,0,Fri Aug 27 16:50:37 +0000 2021,263,263,false,84
788677056909418500,788677056909418496,Abdul.L2,Olawalesh02,Offa Kwara state Nigeria,140,1913,4,Wed Oct 19 09:43:58 +0000 2016,2283,2283,false,2348
1421624657057304600,1421624657057304578,CoinAv,0xCoinAv,,54,785,10,Sun Aug 01 00:11:55 +0000 2021,672,672,false,1192
985138058298347500,985138058298347520,🤠abdulazeez⚡,abdulazeezola18,,52,566,2,Sat Apr 14 12:49:50 +0000 2018,1912,1912,false,1650
1641078710,1641078710,jitesh biswal,jiteshbiswal15,"Jagatsinghapur, India",21,516,3,Fri Aug 02 18:40:23 +0000 2013,362,362,false,582
1473598015302631400,1473598015302631425,Jefri Astiawan,JefriAstiawan,,104,3099,8,Wed Dec 22 10:15:50 +0000 2021,2386,2386,false,5449
809040238295285800,809040238295285761,Karthik,Captaincreed10,,5,56,6,Wed Dec 14 14:19:58 +0000 2016,26,26,false,9
743085129090928600,743085129090928640,tech9 vatchers,TVatchers,,36,1048,3,Wed Jun 15 14:17:55 +0000 2016,1229,1229,false,2285
1331652216986497000,1331652216986497034,Omar Qasimee,OQasimee,Kabul.Afghanistan,10,386,8,Wed Nov 25 17:33:39 +0000 2020,140,140,false,189
939797479,939797479,mücahit,mucahit__aslan,,51,371,1,Sat Nov 10 19:46:03 +0000 2012,461,461,false,542
1480444466695577600,1480444466695577600,Sofyan Faisol,SofyanFaisol,,9,590,2,Mon Jan 10 07:41:11 +0000 2022,167,167,false,680
1500076117251661800,1500076117251661828,chenchen,chenche54249164,,35,514,0,Sat Mar 05 11:49:57 +0000 2022,784,784,false,2048
1454701876025479200,1454701876025479171,Tariq Mahmood,DefiTariq,"Vihari, Pakistan",20,611,5,Sun Oct 31 06:49:12 +0000 2021,74,74,false,314
1412124274891149300,1412124274891149312,Mltmnly,mltmnly,"İstanbul, Türkiye",3,84,0,Mon Jul 05 19:00:55 +0000 2021,8,8,false,231
1407605669096611800,1407605669096611844,Thanh Trúc,Truc2x,,103,4020,13,Wed Jun 23 07:45:26 +0000 2021,1841,1841,false,1733
1483836000636125200,1483836000636125184,Airdrop69,airdrop69t,,154,4855,17,Wed Jan 19 16:17:50 +0000 2022,965,965,false,1323
1394909136689770500,1394909136689770498,Dawid 🇵🇱🏴󠁧󠁢󠁳󠁣󠁴󠁿,MADCryptoPower,"Scotland, United Kingdom",15,62,1,Wed May 19 06:53:56 +0000 2021,517,517,false,124
929732936,929732936,팔로,buffalodang,,60,249,0,Tue Nov 06 13:27:48 +0000 2012,304,304,false,692
1459656476037812200,1459656476037812224,rishab jaiswal,rishabj06,"Hyderabad, India",4,67,1,Sat Nov 13 22:57:13 +0000 2021,35,35,false,16
1502516625173483500,1502516625173483520,Siyam Ahmed #BRG,Siyamahmed678,Bangladesh,95,3407,0,Sat Mar 12 05:27:48 +0000 2022,824,824,false,1212
1528731521657770000,1528731521657769984,hoyong215,hoyong215,,14,397,0,Mon May 23 13:36:18 +0000 2022,324,324,false,596
1297474310567637000,1297474310567636993,MHanafi,MHanafi36465853,INDONESIA,282,2584,7,Sun Aug 23 10:02:45 +0000 2020,1177,1177,false,1974
1469398535120560000,1469398535120560132,Vetal1000,Vetal10001,,118,1405,0,Fri Dec 10 20:08:17 +0000 2021,87,87,false,133
1456286901883719700,1456286901883719681,Zeus DarkBot,zeusdb_,,123,4730,14,Thu Nov 04 15:47:35 +0000 2021,66,66,false,1021
298507434,298507434,Natalie923,natalie162301,,13,375,0,Sat May 14 12:49:50 +0000 2011,5,5,false,22
1362907312449597400,1362907312449597440,"happee (🔭,🔺)",Coc97528302,,82,1968,11,Fri Feb 19 23:30:24 +0000 2021,2881,2881,false,4661
1442126270905524200,1442126270905524227,Emil,emil_aghayev114,,2,19,0,Sun Sep 26 13:58:02 +0000 2021,267,267,false,319
851737816006635500,851737816006635520,Sameer,sameer_mahata,India,152,3911,19,Tue Apr 11 10:04:54 +0000 2017,3650,3650,false,6566
2801694340,2801694340,Hare Krishna Nationalist,electrotechmail,New Delhi,2140,5008,0,Fri Oct 03 10:03:59 +0000 2014,2863,2863,false,6530
1478431991053930500,1478431991053930499,İlqar Eyvazov,ilqar_eyvazov,,0,10,0,Tue Jan 04 18:24:11 +0000 2022,4,4,false,8
799662430703861800,799662430703861760,robinay,robinayesha,,263,559,0,Fri Nov 18 17:15:55 +0000 2016,211,211,false,459
1503859489165914000,1503859489165914113,Hongsirang,keulleobmaenho1,,94,1540,0,Tue Mar 15 22:23:49 +0000 2022,1116,1116,false,2277
1397468374809018400,1397468374809018368,HIROZ💫CryptoSearch,HIROZ02,大阪 大阪市 西区,212,808,7,Wed May 26 08:23:29 +0000 2021,1668,1668,false,1728
1468431213329543200,1468431213329543172,Vũ Điêu,Viu74034826,,60,269,4,Wed Dec 08 04:04:28 +0000 2021,577,577,false,518
1432997762564599800,1432997762564599809,王飞,duyiwuer55,,32,188,0,Wed Sep 01 09:24:43 +0000 2021,76,76,false,182
1376121075130458000,1376121075130458114,anelif01,anelif011,대한민국 용인시,19,152,8,Sun Mar 28 10:36:58 +0000 2021,435,435,false,662
1408928188185600000,1408928188185600007,airdrops and giveaways and free NFTs,SHernouf,,82,3377,3,Sat Jun 26 23:20:49 +0000 2021,1722,1722,false,3177
1384436631386476500,1384436631386476546,ganghunHong,djPVXPqevT4D5UU,대한민국 노원구,25,628,1,Tue Apr 20 09:20:04 +0000 2021,428,428,false,1333
494968296,494968296,ᵉˢⁱⁿ,Esinzi,"Antalya, Türkiye",1529,2111,3,Fri Feb 17 13:10:04 +0000 2012,3305,3305,false,5575
1480871864163573800,1480871864163573762,Aren,arenbelk,,19,294,3,Tue Jan 11 11:59:12 +0000 2022,265,265,false,394
1448214786966270000,1448214786966269952,Patrice Viera,nabiyevaraz,,11,693,2,Wed Oct 13 09:11:52 +0000 2021,794,794,false,1063
1474089431237861400,1474089431237861378,mreoll,mreool,,9,250,4,Thu Dec 23 18:48:14 +0000 2021,215,215,false,367
1411308749885567000,1411308749885566978,Shakti Mania,ManiaShakti,,21,299,2,Sat Jul 03 13:00:13 +0000 2021,158,158,false,266
1463494584072245200,1463494584072245248,Grazyna,Grazyna_2304,,1,18,0,Wed Nov 24 13:08:07 +0000 2021,25,25,false,15
1512380687806267400,1512380687806267392,Ripon,Ripon64474125,,38,686,0,Fri Apr 08 10:43:57 +0000 2022,203,203,false,1840
1518310578447855600,1518310578447855616,Tawsif Mahbub,TawsifM14847096,,20,377,0,Sun Apr 24 19:27:13 +0000 2022,59,59,false,450
1294744121480011800,1294744121480011778,Patryk,Patryk27198833,"Zawiercie, Polska",18,133,1,Sat Aug 15 21:14:04 +0000 2020,43,43,false,69
1527637275865403400,1527637275865403393,Jessica Fetzner,Jessica84363379,,1,2,0,Fri May 20 13:08:29 +0000 2022,3,3,false,6
782816255845683200,782816255845683200,Sidney Noyce,rongneishakore1,,2,27,0,Mon Oct 03 05:35:14 +0000 2016,5,5,false,6
